Transaction Type=All,Product Type=All,Symbol=,From=2020-01-01,To=2020-11-14
Transaction Date,Settlement Date,Activity Description,Description,Symbol,Quantity,Price,Currency,Total Amount,Currency
----------------,---------------,--------------------,-----------,------,--------,-----,--------,------------,--------
2020-11-13,2020-11-13,Dividend,PEMBINA PIPELINE,PPL,170,,,35.70,CAD
2020-10-15,2020-10-15,Dividend,PEMBINA PIPELINE,PPL,170,,,35.70,CAD
2020-10-06,2020-10-08,Buy,CDN NATURAL RESC,CNQ,200,21.68,CDN,-4344.65,CAD
2020-10-06,2020-10-08,Buy,CDN NATURAL RESC,CNQ,30,21.68,CDN,-651.70,CAD
2020-10-05,2020-10-05,Deposit,BP#0010218953 PAYMENT RECEIVED,,,,,5000.00,CAD
2020-09-23,2020-09-25,Buy,PEMBINA PIPELINE,PPL,70,29.37,CDN,-2060.00,CAD
2020-09-23,2020-09-25,Buy,PEMBINA PIPELINE,PPL,100,29.37,CDN,-2942.85,CAD
2020-09-23,2020-09-25,Buy,BROOKFIELD PROPERTY PARTNERS L,BPY.UN,100,14.70,CDN,-1473.02,CAD
2020-09-23,2020-09-25,Buy,BROOKFIELD PROPERTY PARTNERS L,BPY.UN,100,14.695,CDN,-1472.52,CAD
2020-09-23,2020-09-25,Buy,BROOKFIELD PROPERTY PARTNERS L,BPY.UN,30,14.70,CDN,-441.90,CAD
2020-09-23,2020-09-25,Buy,BROOKFIELD PROPERTY PARTNERS L,BPY.UN,100,14.695,CDN,-1472.51,CAD
2020-09-23,2020-09-25,Buy,ENBRIDGE,ENB,125,40.26,CDN,-5042.45,CAD
2020-09-22,2020-09-22,Deposit,BP#0010218625 PAYMENT RECEIVED,,,,,15000.00,CAD

